tiempo,referencia,hc,f_pid,hc_prev,hc_prev_prev,hc_prev_3,hc_prev_4,freq_prev,freq_prev_prev,freq_prev_3,freq_prev_4,y_hat_1,error
90310,9,4.66961183744959,0.01,8.98820114575743,12.4558709890864,14.8998486638227,17.1425694082199,0.0283336574163963,0.0283336574163963,0.0283336574163963,0.01,4.74734,-0.07772836488195267
90320,9,-0.400431904448635,0.01,4.66961183744959,8.98820114575743,12.4558709890864,14.8998486638227,0.01,0.0283336574163963,0.0283336574163963,0.0283336574163963,0.0,-0.400431904448635
90330,9,-0.118605764691283,0.01,-0.400431904448635,4.66961183744959,8.98820114575743,12.4558709890864,0.01,0.01,0.0283336574163963,0.0283336574163963,0.0,-0.118605764691283
90340,9,27.5256905894385,99.99,-0.118605764691283,-0.400431904448635,4.66961183744959,8.98820114575743,0.01,0.01,0.01,0.0283336574163963,19.467579,8.058111701499048
90350,9,36.0723630201853,99.99,27.5256905894385,-0.118605764691283,-0.400431904448635,4.66961183744959,99.99,0.01,0.01,0.01,31.917131,4.1552315962351045
90360,9,42.4708331277207,99.99,36.0723630201853,27.5256905894385,-0.118605764691283,-0.400431904448635,99.99,99.99,0.01,0.01,39.607502,2.863331144078124
90370,9,41.5696715582834,0.01,42.4708331277207,36.0723630201853,27.5256905894385,-0.118605764691283,99.99,99.99,99.99,0.01,40.508854,1.0608176459298875
90380,9,40.5567434011327,0.01,41.5696715582834,42.4708331277207,36.0723630201853,27.5256905894385,0.01,99.99,99.99,99.99,40.790737,-0.23399375096690989
90390,9,39.8313525221526,0.01,40.5567434011327,41.5696715582834,42.4708331277207,36.0723630201853,0.01,0.01,99.99,99.99,39.77635,0.055004408138927374
90400,48,40.4264387864447,25.0017708535885,39.8313525221526,40.5567434011327,41.5696715582834,42.4708331277207,0.01,0.01,0.01,99.99,39.33404,1.0923971909857144
90410,48,40.9397541475944,25.0017708535885,40.4264387864447,39.8313525221526,40.5567434011327,41.5696715582834,25.0017708535885,0.01,0.01,0.01,39.72442,1.2153355074576808
90420,48,41.081441905173,25.0017708535885,40.9397541475944,40.4264387864447,39.8313525221526,40.5567434011327,25.0017708535885,25.0017708535885,0.01,0.01,40.254604,0.8268375655733919
90430,48,45.4103169741492,87.4991145732057,41.081441905173,40.9397541475944,40.4264387864447,39.8313525221526,25.0017708535885,25.0017708535885,25.0017708535885,0.01,42.8323,2.578018695340603
90440,48,49.230414885551,87.4991145732057,45.4103169741492,41.081441905173,40.9397541475944,40.4264387864447,87.4991145732057,25.0017708535885,25.0017708535885,25.0017708535885,46.913216,2.317199248343968
90450,48,52.4375078772107,87.4991145732057,49.230414885551,45.4103169741492,41.081441905173,40.9397541475944,87.4991145732057,87.4991145732057,25.0017708535885,25.0017708535885,50.492264,1.9452440832653863
90460,48,51.7074180161247,0.01,52.4375078772107,49.230414885551,45.4103169741492,41.081441905173,87.4991145732057,87.4991145732057,87.4991145732057,25.0017708535885,51.43803,0.2693877732047767
90470,48,51.3912171289938,0.01,51.7074180161247,52.4375078772107,49.230414885551,45.4103169741492,0.01,87.4991145732057,87.4991145732057,87.4991145732057,51.12682,0.26439751839809844
90480,48,50.8213193421932,0.01,51.3912171289938,51.7074180161247,52.4375078772107,49.230414885551,0.01,0.01,87.4991145732057,87.4991145732057,50.716476,0.10484290176351152
90490,48,50.6811789641517,21.8747786433014,50.8213193421932,51.3912171289938,51.7074180161247,52.4375078772107,0.01,0.01,0.01,87.4991145732057,50.233418,0.44776145316536997
90500,48,50.9445785210843,21.8747786433014,50.6811789641517,50.8213193421932,51.3912171289938,51.7074180161247,21.8747786433014,0.01,0.01,0.01,50.05009,0.8944877312893809
90510,48,50.8701380839148,21.8747786433014,50.9445785210843,50.6811789641517,50.8213193421932,51.3912171289938,21.8747786433014,21.8747786433014,0.01,0.01,50.22134,0.6487979044714436
90520,48,50.2006859961381,0.01,50.8701380839148,50.9445785210843,50.6811789641517,50.8213193421932,21.8747786433014,21.8747786433014,21.8747786433014,0.01,50.216133,-0.015447121537683017
90530,48,49.3940100092775,0.01,50.2006859961381,50.8701380839148,50.9445785210843,50.6811789641517,0.01,21.8747786433014,21.8747786433014,21.8747786433014,49.573524,-0.17951446582015507
90540,48,48.9034893411841,0.01,49.3940100092775,50.2006859961381,50.8701380839148,50.9445785210843,0.01,0.01,21.8747786433014,21.8747786433014,48.775604,0.1278850931372233
90550,48,48.1520522244319,5.46869466082536,48.9034893411841,49.3940100092775,50.2006859961381,50.8701380839148,0.01,0.01,0.01,21.8747786433014,48.20806,-0.0560089938298205
90560,48,47.3392561728474,5.46869466082536,48.1520522244319,48.9034893411841,49.3940100092775,50.2006859961381,5.46869466082536,0.01,0.01,0.01,47.467182,-0.12792598657642884
90570,48,46.6626552730147,5.46869466082536,47.3392561728474,48.1520522244319,48.9034893411841,49.3940100092775,5.46869466082536,5.46869466082536,0.01,0.01,46.64641,0.016243377262746606
90580,48,46.2880214887305,0.01,46.6626552730147,47.3392561728474,48.1520522244319,48.9034893411841,5.46869466082536,5.46869466082536,5.46869466082536,0.01,45.975117,0.312904758994172
90590,48,45.3504317428091,0.01,46.2880214887305,46.6626552730147,47.3392561728474,48.1520522244319,0.01,5.46869466082536,5.46869466082536,5.46869466082536,45.51269,-0.16225975499363443
90600,48,44.6239591025941,0.01,45.3504317428091,46.2880214887305,46.6626552730147,47.3392561728474,0.01,0.01,5.46869466082536,5.46869466082536,44.66536,-0.04140039447621291
90610,48,45.60565347886,37.2999084003177,44.6239591025941,45.3504317428091,46.2880214887305,46.6626552730147,0.01,0.01,0.01,5.46869466082536,44.564487,1.0411660215846084
90620,48,46.6914109548995,37.2999084003177,45.60565347886,44.6239591025941,45.3504317428091,46.2880214887305,37.2999084003177,0.01,0.01,0.01,45.277752,1.413659032292081
90630,48,47.4963195646287,37.2999084003177,46.6914109548995,45.60565347886,44.6239591025941,45.3504317428091,37.2999084003177,37.2999084003177,0.01,0.01,46.316624,1.1796958768845585
90640,48,46.8596435083716,0.01,47.4963195646287,46.6914109548995,45.60565347886,44.6239591025941,37.2999084003177,37.2999084003177,37.2999084003177,0.01,46.56233,0.29731516974855055
90650,48,46.2993979072578,0.01,46.8596435083716,47.4963195646287,46.6914109548995,45.60565347886,0.01,37.2999084003177,37.2999084003177,37.2999084003177,46.14942,0.14997621536326733
90660,48,45.4413200715014,0.01,46.2993979072578,46.8596435083716,47.4963195646287,46.6914109548995,0.01,0.01,37.2999084003177,37.2999084003177,45.56117,-0.11984859915289547
90670,48,45.8647232512115,27.7362715054529,45.4413200715014,46.2993979072578,46.8596435083716,47.4963195646287,0.01,0.01,0.01,37.2999084003177,45.106766,0.7579575041411886
90680,48,46.3369506115522,27.7362715054529,45.8647232512115,45.4413200715014,46.2993979072578,46.8596435083716,27.7362715054529,0.01,0.01,0.01,45.287174,1.0497763866986816
90690,48,46.8339963498856,27.7362715054529,46.3369506115522,45.8647232512115,45.4413200715014,46.2993979072578,27.7362715054529,27.7362715054529,0.01,0.01,45.748974,1.0850225034500554
90700,48,46.0389268844999,0.01,46.8339963498856,46.3369506115522,45.8647232512115,45.4413200715014,27.7362715054529,27.7362715054529,27.7362715054529,0.01,45.90677,0.1321580856717759
90710,48,45.3120257420544,0.01,46.0389268844999,46.8339963498856,46.3369506115522,45.8647232512115,0.01,27.7362715054529,27.7362715054529,27.7362715054529,45.34134,-0.029313369273722856
90720,48,44.6737831681836,0.01,45.3120257420544,46.0389268844999,46.8339963498856,46.3369506115522,0.01,0.01,27.7362715054529,27.7362715054529,44.584255,0.0895279496777377
90730,48,45.8305897486458,41.8195436396452,44.6737831681836,45.3120257420544,46.0389268844999,46.8339963498856,0.01,0.01,0.01,27.7362715054529,44.71722,1.113369442249315
90740,48,47.3462017653508,41.8195436396452,45.8305897486458,44.6737831681836,45.3120257420544,46.0389268844999,41.8195436396452,0.01,0.01,0.01,45.707424,1.6387776015324391
90750,48,48.2597773890991,41.8195436396452,47.3462017653508,45.8305897486458,44.6737831681836,45.3120257420544,41.8195436396452,41.8195436396452,0.01,0.01,47.12136,1.1384166102905056
90760,48,47.7890423738303,0.01,48.2597773890991,47.3462017653508,45.8305897486458,44.6737831681836,41.8195436396452,41.8195436396452,41.8195436396452,0.01,47.36478,0.4242619478049079
90770,48,46.8465345885126,0.01,47.7890423738303,48.2597773890991,47.3462017653508,45.8305897486458,0.01,41.8195436396452,41.8195436396452,41.8195436396452,47.06718,-0.22064604503232488
90780,48,46.3786543509408,0.01,46.8465345885126,47.7890423738303,48.2597773890991,47.3462017653508,0.01,0.01,41.8195436396452,41.8195436396452,46.19672,0.1819342276497835
90790,48,45.5746652285545,10.4548859099113,46.3786543509408,46.8465345885126,47.7890423738303,48.2597773890991,0.01,0.01,0.01,41.8195436396452,45.689175,-0.11450942354510829
90800,39,45.068600197804,10.4548859099113,45.5746652285545,46.3786543509408,46.8465345885126,47.7890423738303,10.4548859099113,0.01,0.01,0.01,44.836773,0.23182727910283063
90810,39,44.6791205752026,10.4548859099113,45.068600197804,45.5746652285545,46.3786543509408,46.8465345885126,10.4548859099113,10.4548859099113,0.01,0.01,44.27581,0.4033103335033843
90820,39,43.7834034868294,0.01,44.6791205752026,45.068600197804,45.5746652285545,46.3786543509408,10.4548859099113,10.4548859099113,10.4548859099113,0.01,43.92206,-0.13865461863935025
90830,39,43.5154522282303,0.01,43.7834034868294,44.6791205752026,45.068600197804,45.5746652285545,0.01,10.4548859099113,10.4548859099113,10.4548859099113,43.05411,0.4613407475174114
90840,39,42.3175594140663,0.01,43.5154522282303,43.7834034868294,44.6791205752026,45.068600197804,0.01,0.01,10.4548859099113,10.4548859099113,42.658485,-0.34092599853135397
90850,39,41.4279378967118,2.61372147747782,42.3175594140663,43.5154522282303,43.7834034868294,44.6791205752026,0.01,0.01,0.01,10.4548859099113,41.595924,-0.16798648072960276
90860,39,40.7536373664519,2.61372147747782,41.4279378967118,42.3175594140663,43.5154522282303,43.7834034868294,2.61372147747782,0.01,0.01,0.01,40.616405,0.13723187939135073
90870,39,39.686880408208,2.61372147747782,40.7536373664519,41.4279378967118,42.3175594140663,43.5154522282303,2.61372147747782,2.61372147747782,0.01,0.01,39.884193,-0.1973130122021587
90880,39,38.7220746981795,0.01,39.686880408208,40.7536373664519,41.4279378967118,42.3175594140663,2.61372147747782,2.61372147747782,2.61372147747782,0.01,38.891766,-0.16969089630292444
90890,39,38.1334159691107,0.01,38.7220746981795,39.686880408208,40.7536373664519,41.4279378967118,0.01,2.61372147747782,2.61372147747782,2.61372147747782,37.88645,0.24696424791929417
90900,39,37.2705724373931,0.01,38.1334159691107,38.7220746981795,39.686880408208,40.7536373664519,0.01,0.01,2.61372147747782,2.61372147747782,37.216377,0.05419517909231786
90910,39,35.9816437834168,1.27367323442079,37.2705724373931,38.1334159691107,38.7220746981795,39.686880408208,0.01,0.01,0.01,2.61372147747782,36.36758,-0.38593663040155946
