tiempo,referencia,hc,f_pid,hc_prev,hc_prev_prev,hc_prev_3,hc_prev_4,freq_prev,freq_prev_prev,freq_prev_3,freq_prev_4,y_hat_1
28580,11,15.6691209189931,0.672284140929607,17.6695805187776,19.753702410571,21.4457006508104,23.0355147531484,0.672284140929607,0.01,0.01,0.01,15.422748565673828
28590,11,13.0242399505856,0.672284140929607,15.6691209189931,17.6695805187776,19.753702410571,21.4457006508104,0.672284140929607,0.672284140929607,0.01,0.01,13.293959617614746
28600,11,10.2301783363594,0.01,13.0242399505856,15.6691209189931,17.6695805187776,19.753702410571,0.672284140929607,0.672284140929607,0.672284140929607,0.01,9.90819263458252
28610,11,6.44822202590364,0.01,10.2301783363594,13.0242399505856,15.6691209189931,17.6695805187776,0.01,0.672284140929607,0.672284140929607,0.672284140929607,6.481915473937988
28620,11,0.787964725115406,0.01,6.44822202590364,10.2301783363594,13.0242399505856,15.6691209189931,0.01,0.01,0.672284140929607,0.672284140929607,0.7230093479156494
28630,11,19.2044640536054,99.99,0.787964725115406,6.44822202590364,10.2301783363594,13.0242399505856,0.01,0.01,0.01,0.672284140929607,19.161890029907227
28640,11,25.3763792399774,99.99,19.2044640536054,0.787964725115406,6.44822202590364,10.2301783363594,99.99,0.01,0.01,0.01,25.428194046020508
28650,11,29.9198887955759,99.99,25.3763792399774,19.2044640536054,0.787964725115406,6.44822202590364,99.99,99.99,0.01,0.01,29.656320571899414
28660,11,28.6618456438084,0.01,29.9198887955759,25.3763792399774,19.2044640536054,0.787964725115406,99.99,99.99,99.99,0.01,28.68572235107422
28670,11,27.3822245138352,0.01,28.6618456438084,29.9198887955759,25.3763792399774,19.2044640536054,0.01,99.99,99.99,99.99,27.317258834838867
28680,11,25.9393447310866,0.01,27.3822245138352,28.6618456438084,29.9198887955759,25.3763792399774,0.01,0.01,99.99,99.99,25.983692169189453
28690,11,25.4859872747691,25.0420177588081,25.9393447310866,27.3822245138352,28.6618456438084,29.9198887955759,0.01,0.01,0.01,99.99,25.307435989379883
28700,11,24.6897162663214,25.0420177588081,25.4859872747691,25.9393447310866,27.3822245138352,28.6618456438084,25.0420177588081,0.01,0.01,0.01,24.90895652770996
28710,11,23.972022629095,25.0420177588081,24.6897162663214,25.4859872747691,25.9393447310866,27.3822245138352,25.0420177588081,25.0420177588081,0.01,0.01,23.964088439941406
